Car Make,Car Model,Year,Battery_Type,Price_USD,Country
Acura,ZDX (with GM Ultium),2018,Magnesium-ion,66646.06,South Africa
Mercedes-Benz,EQB,2021,Magnesium-ion,91975.96,Ireland
Ford,E-Transit,2020,Lithium-titanate,81035.75,Indonesia
Genesis,GV70 Electric,2022,Magnesium-ion,116000.72,Argentina
Lucid Motors,Lucid Air,2024,Lead-acid,49250.15,New Zealand
Dacia,Bigster EV (upcoming),2018,Lithium-sulfur,36733.75,Portugal
Opel,Grandland Electric,2021,Calcium-ion,97420.37,Belgium
Nissan,Leaf,2016,Calcium-ion,73347.55,Malaysia
Lucid Motors,Lucid DreamDrive,2019,Lithium-sulfur,107068.83,Thailand
Nissan,Ariya,2015,Lead-acid,70050.31,China
Changan,Q05,2025,Lithium-iron phosphate,85885.82,Sweden
Peugeot,e-5008,2015,Nickel-cobalt-aluminum,57027.59,Sweden
Mini,Mini Electric,2024,Aluminum-ion,47794.06,Norway
Fisker,Ocean,2020,Calcium-ion,49594.67,Austria
NIO,ET5,2022,Calcium-ion,83617.49,Denmark
Renault,Megane E-Tech,2017,Magnesium-ion,73006.84,Indonesia
Changan,SL03,2015,Nickel-cobalt-aluminum,143487.81,China
Nissan,Ariya,2025,Aluminum-ion,31112.87,Sweden
Peugeot,e-3008,2020,Zinc-air,142354.99,Norway
XPeng,G9,2019,Zinc-air,136658.45,Sweden
Mercedes-Benz,EQS,2015,Sodium-ion,43489.27,Australia
Great Wall Motors,ORA Lightning Cat,2019,Nickel-metal hydride,110211.83,New Zealand
Mini,Mini Electric,2016,Lithium-titanate,60080.48,Poland
Rimac,Nevera,2020,Flow batteries,125972.57,South Korea
Rimac,Nevera,2024,Nickel-manganese-cobalt,128038.74,Thailand
Toyota,Lexus UX 300e,2023,Aluminum-ion,126838.62,UAE
VinFast,VF 8,2021,Flow batteries,147010.55,Canada
Zeekr,Zeekr 001,2023,Nickel-metal hydride,111668.92,Germany
Lotus,Eletre,2023,Sodium-ion,42016.57,Finland
Toyota,bZ4X,2021,Lithium-sulfur,86160.5,Poland
GMC,Hummer EV Pickup,2015,Magnesium-ion,121751.15,Belgium
Audi,e-tron GT,2019,Nickel-metal hydride,47089.01,Hungary
Volvo,EX90,2019,Calcium-ion,135627.23,Mexico
Jeep,Grand Cherokee 4xe (PHEV),2022,Magnesium-ion,117811.12,Argentina
Acura,ZDX (with GM Ultium),2019,Calcium-ion,69459.56,Spain
Mahindra,XUV400,2024,Nickel-cobalt-aluminum,130489.44,Ireland
Kia,Soul EV,2018,Sodium-ion,116194.68,Brazil
Canoo,MPDV,2021,Flow batteries,143513.97,Czech Republic
Fisker,Pear (upcoming),2018,Lithium-sulfur,148917.08,Netherlands
Hyundai,Ioniq 6,2020,Zinc-air,66700.22,UK
Dacia,Bigster EV (upcoming),2020,Sodium-ion,145117,Germany
Citroen,Ami,2023,Nickel-metal hydride,40865.07,Thailand
Kia,EV6,2024,Zinc-air,34892.74,Sweden
Volvo,EX90,2025,Magnesium-ion,32492.87,New Zealand
Lotus,Evija,2021,Flow batteries,114809.51,Spain
Audi,e-tron GT,2020,Calcium-ion,99475.02,Turkey
Fisker,Ocean,2022,Lithium-sulfur,89655.95,China
Great Wall Motors,ORA Ballet Cat,2017,Solid-state,143682.14,Germany
Mini,Mini Cooper SE,2019,Lead-acid,125809.96,Indonesia
BMW,iX3,2020,Zinc-air,93572.64,Netherlands
Genesis,G80 Electric,2016,Sodium-ion,143883.59,Indonesia
Porsche,Cayenne Electric (upcoming),2019,Nickel-manganese-cobalt,72144.08,UK
Lamborghini,Revuelto (PHEV),2025,Sodium-ion,76170.42,Singapore
Maserati,Grecale Folgore,2020,Solid-state,98878.2,Norway
Faraday Future,FF 91,2019,Solid-state,89718.13,Sweden
Jaguar,I-PACE,2020,Lithium-iron phosphate,78514.16,South Korea
Lotus,Eletre,2025,Flow batteries,107183.82,Hungary
Zeekr,Zeekr 007,2016,Nickel-manganese-cobalt,103159.59,Russia
Hyundai,Ioniq 6,2024,Lithium-titanate,118710.85,Germany
Zeekr,Zeekr X,2023,Sodium-ion,143995.72,Hungary
NIO,ES6,2016,Aluminum-ion,139829.4,Norway
Cadillac,Lyriq,2024,Flow batteries,115220.69,Poland
Canoo,Pickup,2021,Lithium-sulfur,31251.56,Thailand
Acura,ZDX (with GM Ultium),2016,Nickel-metal hydride,69285.43,Spain
Ferrari,Roma PHEV,2016,Magnesium-ion,96570,Denmark
Chevrolet,Silverado EV,2017,Solid-state,103838.5,Sweden
Rimac,Nevera,2024,Lithium-ion,72014.07,South Korea
Lucid Motors,Lucid Gravity,2025,Lithium-titanate,59493.13,Czech Republic
Lotus,Evija,2015,Zinc-air,47218.38,Austria
Jaguar,I-PACE,2025,Lithium-ion,139297.37,India
Honda,Honda Prologue,2025,Nickel-manganese-cobalt,135533.32,Sweden
Peugeot,e-208,2021,Magnesium-ion,135576.6,Austria
Changan,Q05,2022,Nickel-manganese-cobalt,109844.81,South Africa
Lamborghini,Lanzador (upcoming EV),2020,Flow batteries,95139.44,Poland
Mini,Mini Cooper SE,2023,Nickel-cobalt-aluminum,76316.48,Norway
VinFast,VF 7,2017,Nickel-cobalt-aluminum,88402.2,Finland
Tesla,Model S,2020,Calcium-ion,48072.35,Poland
Dacia,Jogger Hybrid,2019,Lithium-sulfur,48242.03,Canada
Toyota,Lexus UX 300e,2018,Solid-state,34725.4,New Zealand
Ferrari,SF90 Stradale (PHEV),2022,Aluminum-ion,148537.84,China
Lucid Motors,Lucid DreamDrive,2020,Lithium-sulfur,148028.51,Germany
Toyota,Lexus UX 300e,2015,Nickel-manganese-cobalt,114061.79,Malaysia
Hyundai,Ioniq 6,2023,Lithium-ion,32305.46,Denmark
BYD,Atto 3,2021,Nickel-cobalt-aluminum,96285.92,Czech Republic
Jaguar,I-PACE,2017,Magnesium-ion,37795.1,Belgium
Audi,e-tron GT,2024,Flow batteries,69708.08,France
Hyundai,Kona Electric,2015,Nickel-cobalt-aluminum,39529.43,South Africa
Mazda,MX-30,2022,Nickel-metal hydride,61591.39,Singapore
Citroen,?-C4,2017,Nickel-cobalt-aluminum,90798.53,Switzerland
Citroen,?-C4,2016,Lithium-ion,128124.42,Malaysia
Seat,Avenger,2024,Lithium-sulfur,127315.84,Russia
Mercedes-Benz,EQC,2020,Nickel-cobalt-aluminum,131577.79,Australia
Volkswagen,ID.2all,2020,Nickel-cobalt-aluminum,31674.02,Norway
Toyota,Lexus RZ,2018,Lithium-ion,132457.76,Austria
BMW,i4,2016,Solid-state,46977.34,Russia
Acura,ZDX (with GM Ultium),2025,Zinc-air,70931.67,Italy
Rimac,Nevera,2020,Flow batteries,96599.49,Mexico
Jeep,Grand Cherokee 4xe (PHEV),2018,Nickel-manganese-cobalt,135687.38,Sweden
Geely,Geometry C,2018,Magnesium-ion,123331.11,Belgium
VinFast,VF 8,2020,Nickel-manganese-cobalt,107500.99,Ireland
Mazda,MX-30,2021,Nickel-cobalt-aluminum,54508.8,Germany
Geely,Emgrand EV,2021,Lead-acid,62826.25,Denmark
BMW,i4,2023,Nickel-manganese-cobalt,105466.84,Hungary
Ferrari,Ferrari EV (2025+),2015,Aluminum-ion,141233.85,Sweden
Pininfarina,Battista,2021,Sodium-ion,92961.52,Thailand
Citroen,?-Spacetourer,2018,Lithium-iron phosphate,131147.18,New Zealand
Rimac,Nevera,2021,Magnesium-ion,64756.73,Indonesia
Mahindra,XUV400,2020,Lithium-titanate,129484.4,Switzerland
BYD,Atto 3,2021,Nickel-metal hydride,69246.97,Thailand
Mini,Mini Aceman,2021,Lithium-iron phosphate,119137.61,Denmark
Canoo,Pickup,2020,Nickel-manganese-cobalt,136125.65,Switzerland
Renault,Kangoo E-Tech,2020,Nickel-manganese-cobalt,87621.07,Czech Republic
Nissan,Leaf,2015,Lithium-sulfur,98173.31,France
Toyota,Lexus RZ,2025,Lithium-ion,61527.08,Switzerland
Tesla,Model S,2016,Lithium-titanate,114345.21,China
Mahindra,Born Electric (upcoming range),2022,Nickel-cobalt-aluminum,145131.47,Czech Republic
Polestar,Polestar 5 (upcoming),2015,Flow batteries,114353.63,Austria
Canoo,Pickup,2023,Nickel-metal hydride,94892.04,Brazil
Canoo,MPDV,2022,Flow batteries,60384.04,Mexico
Pininfarina,Battista,2024,Sodium-ion,98843.11,Switzerland
Chevrolet,Equinox EV,2016,Zinc-air,112081.28,Mexico
Mini,Mini Cooper SE,2018,Zinc-air,107268.27,Denmark
Citroen,?-Spacetourer,2019,Calcium-ion,52920.79,Germany
Geely,Geometry A,2021,Sodium-ion,74989.91,Vietnam
Mahindra,Born Electric (upcoming range),2020,Lithium-ion,122374.49,Israel
Mahindra,XUV400,2022,Lithium-sulfur,115873.02,Australia
Lamborghini,Lanzador (upcoming EV),2018,Zinc-air,111029.12,Turkey
Genesis,GV60,2019,Zinc-air,84207.11,Netherlands
Lucid Motors,Lucid Gravity,2022,Lithium-iron phosphate,35264.96,Austria
Jaguar,I-PACE,2017,Nickel-metal hydride,74001.08,Vietnam
Li Auto,MEGA,2015,Lithium-sulfur,40469.15,Brazil
Mercedes-Benz,EQS,2024,Nickel-metal hydride,87345.57,Norway
Peugeot,e-5008,2015,Sodium-ion,109909.34,South Africa
Lucid Motors,Lucid DreamDrive,2022,Nickel-manganese-cobalt,106007.59,China
Audi,A6 e-tron (upcoming),2017,Lithium-iron phosphate,129357.08,South Korea
Renault,Scenic E-Tech,2021,Nickel-manganese-cobalt,45279.16,Turkey
Mazda,Mazda EV (upcoming models),2016,Nickel-cobalt-aluminum,114536.92,Sweden
Maserati,GranTurismo Folgore,2019,Calcium-ion,134539.09,Israel
Pininfarina,Battista,2022,Sodium-ion,62185.4,Czech Republic
Fisker,Pear (upcoming),2018,Calcium-ion,101731.26,Denmark
Maserati,GranTurismo Folgore,2018,Magnesium-ion,116729.11,Belgium
Polestar,Polestar 5 (upcoming),2022,Lithium-titanate,47560.79,China
Faraday Future,FF 91,2022,Nickel-manganese-cobalt,80459.18,South Korea
Rimac,Nevera,2017,Nickel-metal hydride,38433.6,UAE
Chevrolet,Equinox EV,2015,Lithium-ion,58881.63,Finland
Lamborghini,Lanzador (upcoming EV),2018,Nickel-metal hydride,103955.6,UK
Polestar,Polestar 5 (upcoming),2018,Lithium-iron phosphate,63536.48,Belgium
Volvo,XC40 Recharge,2016,Nickel-cobalt-aluminum,76137.06,India
VinFast,VFe34 (discontinued),2020,Sodium-ion,102786.47,Sweden
Rivian,R1S,2020,Nickel-cobalt-aluminum,75533.29,Germany
Ferrari,Roma PHEV,2020,Nickel-cobalt-aluminum,40735.31,Brazil
Jeep,Grand Cherokee 4xe (PHEV),2015,Nickel-cobalt-aluminum,139901.99,Finland
Mazda,MX-30,2021,Lithium-sulfur,49995.46,Austria
Lamborghini,Lanzador (upcoming EV),2021,Aluminum-ion,39245.7,France
Porsche,Macan EV,2023,Aluminum-ion,50615.35,Turkey
BMW,i7,2017,Calcium-ion,63513.25,Australia
NIO,ET9,2015,Lithium-sulfur,77402.03,Thailand
Dacia,Bigster EV (upcoming),2019,Lead-acid,34370,Ireland
BYD,Han EV,2020,Nickel-manganese-cobalt,106614.44,Malaysia
Nissan,Leaf,2022,Lithium-sulfur,54563.09,Indonesia
BMW,i4,2022,Aluminum-ion,65274.12,Turkey
Pininfarina,Battista,2019,Aluminum-ion,115332.6,South Korea
Pininfarina,Battista,2020,Zinc-air,100274.54,Russia
Audi,e-tron GT,2021,Sodium-ion,121453.05,UK
Volkswagen,ID.4,2021,Zinc-air,98182.42,USA
Changan,SL03,2025,Nickel-manganese-cobalt,71128.46,Argentina
Mini,Mini Cooper SE,2023,Nickel-metal hydride,123395.53,Austria
Renault,Kangoo E-Tech,2015,Zinc-air,47756.64,Austria
BYD,Dolphin,2021,Nickel-cobalt-aluminum,104766.98,China
Nissan,Ariya,2020,Solid-state,77561.36,Thailand
Cadillac,Celestiq,2024,Nickel-cobalt-aluminum,118491.62,Saudi Arabia
Tesla,Model Y,2017,Lithium-ion,140170.03,Brazil
Jeep,Wrangler 4xe (PHEV),2015,Zinc-air,137646.74,Russia
Mazda,MX-30,2016,Nickel-manganese-cobalt,113993.13,Russia
Great Wall Motors,ORA Lightning Cat,2020,Lead-acid,141659.65,Poland
BMW,iX1,2016,Nickel-metal hydride,38813.06,Mexico
Mini,Mini Aceman,2023,Lithium-titanate,108741.8,Netherlands
Porsche,Cayenne Electric (upcoming),2022,Flow batteries,127893.74,Vietnam
Hyundai,Ioniq 7 (upcoming),2020,Nickel-metal hydride,89442.92,Denmark
Pininfarina,Battista,2020,Lithium-ion,69902.15,Turkey
Opel,Grandland Electric,2015,Nickel-manganese-cobalt,120692.83,Czech Republic
Changan,Q05,2024,Lithium-iron phosphate,66033.9,Japan
Volvo,XC40 Recharge,2018,Calcium-ion,145036.49,Portugal
Mini,Mini Electric,2022,Zinc-air,132628.07,UAE
Pininfarina,Battista,2022,Lithium-ion,65078,Indonesia
Maserati,Grecale Folgore,2016,Nickel-metal hydride,37917.87,Portugal
MG,MG ZS EV,2022,Flow batteries,41043.61,India
Mercedes-Benz,EQE,2020,Nickel-metal hydride,140965.67,Brazil
Opel,Mokka-e,2018,Nickel-metal hydride,119728.12,Austria
Chevrolet,Bolt EV,2022,Lithium-iron phosphate,142070.41,Mexico
Cadillac,Optiq (upcoming),2023,Magnesium-ion,149536.28,Mexico
Subaru,Solterra,2019,Lithium-ion,149808.37,Spain
Audi,Q8 e-tron,2019,Lithium-titanate,69330.46,UK
Honda,Honda Prologue,2020,Aluminum-ion,39460.66,Portugal
Seat,Avenger,2023,Flow batteries,34888.49,UK
Kia,EV9,2015,Nickel-manganese-cobalt,100902.46,Belgium
Faraday Future,FF 91,2022,Lithium-iron phosphate,128661.08,Turkey
Opel,Corsa-e,2022,Lead-acid,76612.94,South Africa
Polestar,Polestar 2,2021,Lithium-sulfur,78665.4,Spain
Dacia,Jogger Hybrid,2018,Lithium-iron phosphate,45955.45,Portugal
Kia,EV6,2018,Nickel-manganese-cobalt,69013.39,India
NIO,ES8,2018,Calcium-ion,143897.16,South Korea
Changan,Q05,2019,Lithium-iron phosphate,63519.37,USA
Lucid Motors,Lucid DreamDrive,2019,Calcium-ion,56467.88,Germany
Ford,Mustang Mach-E,2019,Lithium-titanate,108995.26,Poland
Honda,e:Ny1,2025,Aluminum-ion,147294.21,Sweden
Tesla,Model Y,2018,Nickel-metal hydride,126551.18,Denmark
NIO,EL7,2024,Lithium-iron phosphate,72825.68,Belgium
Ferrari,SF90 Stradale (PHEV),2018,Nickel-cobalt-aluminum,149514.73,France
BYD,Han EV,2015,Lithium-sulfur,63649.31,Malaysia
VinFast,VFe34 (discontinued),2023,Lithium-titanate,112679.6,Netherlands
Pininfarina,Battista,2016,Lead-acid,113565.49,Malaysia
Mini,Mini Cooper SE,2018,Nickel-metal hydride,53502.73,Denmark
Jaguar,I-PACE,2020,Flow batteries,81818.7,China
Maserati,Grecale Folgore,2025,Calcium-ion,55414.22,Indonesia
Lamborghini,Lanzador (upcoming EV),2022,Nickel-metal hydride,80986.36,Malaysia
Mazda,Mazda EV (upcoming models),2023,Nickel-manganese-cobalt,45213.47,Austria
Jeep,Grand Cherokee 4xe (PHEV),2015,Lead-acid,58857.95,Turkey
Lotus,Evija,2016,Lithium-sulfur,35282.23,Switzerland
GMC,Hummer EV SUV,2016,Nickel-cobalt-aluminum,68621.09,Portugal
Nissan,Leaf,2020,Nickel-metal hydride,52850.64,France
Renault,5 E-Tech,2020,Sodium-ion,61296.49,Saudi Arabia
Opel,Corsa-e,2017,Nickel-metal hydride,86264.93,Vietnam
NIO,ES8,2025,Sodium-ion,78622,Canada
BMW,i4,2019,Calcium-ion,96305.2,New Zealand
GMC,Hummer EV SUV,2015,Magnesium-ion,37285.41,South Korea
Tesla,Model X,2025,Lithium-titanate,86837.01,South Africa
Polestar,Polestar 3,2025,Solid-state,92606.82,Poland
Renault,Kangoo E-Tech,2018,Solid-state,134813.3,India
Porsche,Cayenne Electric (upcoming),2018,Lithium-titanate,145106.21,Germany
Ferrari,Ferrari EV (2025+),2023,Aluminum-ion,74204.62,Turkey
BMW,iX3,2020,Lithium-ion,64965.15,Switzerland
Jaguar,I-PACE,2018,Magnesium-ion,101982.62,Australia
Hyundai,Ioniq 5,2022,Lithium-iron phosphate,34705.34,Japan
NIO,ET7,2022,Lead-acid,52179.46,Germany
Volkswagen,ID.2all,2024,Lead-acid,106420.01,Spain
Skoda,Enyaq,2021,Sodium-ion,39150.23,China
Volvo,C40 Recharge,2021,Lead-acid,120782.54,Denmark
Audi,e-tron GT,2022,Lithium-sulfur,142053.35,Czech Republic
Nissan,Ariya,2018,Nickel-manganese-cobalt,119250.86,France
BMW,iX1,2018,Sodium-ion,121528.34,Sweden
Honda,Honda Prologue,2020,Lithium-ion,43052.84,Russia
Mazda,MX-30,2016,Lithium-iron phosphate,148217.63,Denmark
Li Auto,L7,2018,Lithium-iron phosphate,110043.09,Germany
Mazda,MX-30,2015,Lithium-titanate,101742.04,Finland
Genesis,G80 Electric,2016,Aluminum-ion,106413.24,Belgium
GMC,Hummer EV Pickup,2017,Aluminum-ion,46955.07,Thailand
XPeng,P7,2022,Magnesium-ion,50869.75,Poland
Genesis,GV70 Electric,2023,Nickel-metal hydride,147712.4,USA
Zeekr,Zeekr 009,2015,Lead-acid,121572.63,Sweden
Li Auto,L7,2018,Lithium-ion,129673.7,Denmark
Opel,Mokka-e,2021,Lead-acid,62628.17,Germany
Cadillac,Celestiq,2021,Solid-state,39006.81,Denmark
NIO,ET5,2024,Flow batteries,68567.13,Indonesia
Ford,Mustang Mach-E,2020,Lithium-iron phosphate,82877.95,Czech Republic
Mini,Mini Electric,2024,Nickel-metal hydride,89051.29,New Zealand
Nissan,Ariya,2023,Flow batteries,84463.97,Italy
Kia,EV9,2023,Aluminum-ion,137893.67,France
Canoo,MPDV,2025,Sodium-ion,52846.46,China
Rimac,Nevera,2017,Calcium-ion,41341.95,Czech Republic
Maserati,Grecale Folgore,2017,Aluminum-ion,50438.18,China
Maserati,Grecale Folgore,2016,Flow batteries,95535.01,Russia
Polestar,Polestar 2,2023,Nickel-metal hydride,57468.99,Malaysia
Skoda,Enyaq,2022,Nickel-manganese-cobalt,78610.16,Sweden
Hyundai,Ioniq 5,2017,Lithium-iron phosphate,77202.81,Argentina
Ferrari,SF90 Stradale (PHEV),2016,Lead-acid,98474.19,Singapore
Opel,Grandland Electric,2019,Lithium-iron phosphate,134169.32,Italy
Maserati,GranTurismo Folgore,2024,Lithium-titanate,65776.47,Mexico
Fisker,Pear (upcoming),2025,Lead-acid,82968.67,Norway
Porsche,Taycan,2024,Nickel-manganese-cobalt,37617.73,Australia
MG,MG ES5,2017,Calcium-ion,119971.74,Saudi Arabia
BMW,iX3,2019,Aluminum-ion,76818.53,Finland
Toyota,Lexus UX 300e,2017,Magnesium-ion,51906.72,Thailand
Acura,ZDX (with GM Ultium),2025,Nickel-metal hydride,129637,Denmark
Skoda,Elroq (upcoming),2020,Nickel-metal hydride,143402.93,Netherlands
Lotus,Evija,2025,Sodium-ion,76946.32,Germany
GMC,Hummer EV SUV,2022,Magnesium-ion,53299.14,Finland
Great Wall Motors,ORA Ballet Cat,2022,Nickel-metal hydride,62296.05,UK
Kia,EV6,2020,Lithium-iron phosphate,136331.87,Indonesia
Nissan,Ariya,2017,Lithium-titanate,122371.13,Japan
Great Wall Motors,ORA Ballet Cat,2015,Zinc-air,73318.39,Turkey
Li Auto,L7,2020,Calcium-ion,83973.56,Portugal
Mini,Mini Cooper SE,2023,Flow batteries,125592.29,Finland
Zeekr,Zeekr 009,2015,Nickel-metal hydride,126194.58,Austria
Rimac,Nevera,2018,Lithium-ion,106010.14,UAE
NIO,EC6,2024,Zinc-air,132041.04,Vietnam
Peugeot,e-208,2017,Sodium-ion,64549.59,South Africa
Audi,e-tron GT,2018,Zinc-air,104888.14,India
Dacia,Bigster EV (upcoming),2020,Lithium-ion,114740,Australia
BYD,Atto 3,2025,Lithium-sulfur,143056.53,Sweden
Mini,Mini Aceman,2018,Lithium-titanate,145242.07,New Zealand
Genesis,GV70 Electric,2015,Sodium-ion,135787.05,Vietnam
Lamborghini,Revuelto (PHEV),2018,Aluminum-ion,59342.54,Saudi Arabia
Genesis,G80 Electric,2022,Lithium-iron phosphate,32347.24,Spain
Geely,Emgrand EV,2024,Nickel-manganese-cobalt,49450.75,Belgium
Mahindra,Born Electric (upcoming range),2017,Zinc-air,33369.41,France
Lucid Motors,Lucid Air,2015,Aluminum-ion,142767.23,South Africa
MG,MG5 EV,2017,Lithium-iron phosphate,140705.69,Japan
VinFast,VFe34 (discontinued),2020,Solid-state,134640.79,UK
Fisker,Ocean,2016,Lithium-sulfur,128789.9,Singapore
Jaguar,I-PACE,2021,Lithium-ion,48888.55,Australia
Jaguar,I-PACE,2021,Solid-state,116600.48,Italy
GMC,Hummer EV Pickup,2015,Lithium-sulfur,94337.82,Norway
Porsche,Taycan,2016,Lithium-sulfur,46873.35,USA
Nissan,Leaf,2020,Sodium-ion,118317.99,Switzerland
Canoo,Lifestyle Vehicle,2016,Lithium-iron phosphate,80863.45,UAE
Honda,e:Ny1,2017,Lithium-ion,73418.71,New Zealand
Renault,Megane E-Tech,2021,Nickel-cobalt-aluminum,45177.93,South Africa
Seat,Avenger,2015,Lithium-iron phosphate,78664.8,Singapore
Geely,Emgrand EV,2025,Magnesium-ion,50697.9,Spain
Jaguar,I-PACE,2023,Lithium-ion,33197.45,Indonesia
Zeekr,Zeekr 001,2023,Lithium-ion,47775.86,France
Li Auto,MEGA,2016,Lithium-iron phosphate,146253.04,Czech Republic
Jaguar,I-PACE,2015,Lithium-ion,93374.68,Malaysia
Tesla,Model X,2018,Flow batteries,48790.14,Malaysia
Jeep,Wrangler 4xe (PHEV),2023,Lithium-iron phosphate,36909.71,Thailand
VinFast,VF 6,2015,Nickel-manganese-cobalt,60277.99,Spain
Dacia,Bigster EV (upcoming),2024,Lithium-ion,50654.47,Finland
VinFast,VFe34 (discontinued),2023,Nickel-manganese-cobalt,100838.06,Canada
Kia,Niro EV,2018,Nickel-manganese-cobalt,61940.89,Norway
Mazda,MX-30,2024,Nickel-manganese-cobalt,81694.44,Italy
Hyundai,Ioniq 7 (upcoming),2015,Calcium-ion,109252.82,France
Seat,Avenger,2017,Aluminum-ion,117714.81,Turkey
Honda,Honda Prologue,2023,Nickel-metal hydride,136012.96,Turkey
Tesla,Cybertruck,2017,Lithium-ion,68423.78,UK
XPeng,P7,2025,Flow batteries,100851.59,Netherlands
Mini,Mini Cooper SE,2025,Flow batteries,44149.68,UK
Polestar,Polestar 3,2022,Lithium-sulfur,75286.42,Australia
Li Auto,L9,2024,Nickel-cobalt-aluminum,81516.99,Malaysia
Kia,EV9,2017,Nickel-metal hydride,78795.71,Saudi Arabia
XPeng,X9,2023,Lithium-iron phosphate,61023.79,Sweden
Audi,e-tron,2019,Solid-state,120802.63,Belgium
Volvo,C40 Recharge,2022,Lithium-titanate,59835.04,Hungary
BYD,Seal,2019,Nickel-manganese-cobalt,108034.29,Czech Republic
Audi,A6 e-tron (upcoming),2017,Lithium-titanate,144771.13,USA
Toyota,Lexus RZ,2023,Calcium-ion,104705.7,India
Jeep,Recon (upcoming),2024,Lead-acid,112642.7,Hungary
GMC,Hummer EV Pickup,2024,Flow batteries,59567.58,Japan
Cadillac,Optiq (upcoming),2023,Magnesium-ion,147103.71,Italy
Mahindra,XUV400,2015,Lithium-ion,65845.61,Spain
Lamborghini,Lanzador (upcoming EV),2021,Nickel-manganese-cobalt,31722.61,Poland
Geely,Geometry C,2020,Lithium-iron phosphate,59102,Argentina
Pininfarina,Battista,2015,Solid-state,36443.89,Vietnam
Great Wall Motors,ORA Ballet Cat,2025,Nickel-manganese-cobalt,76817.22,UK
Maserati,GranTurismo Folgore,2015,Lithium-ion,100657.19,New Zealand
Fisker,Pear (upcoming),2015,Aluminum-ion,79025.84,Netherlands
Lotus,Emeya,2018,Lithium-titanate,71486.31,India
Honda,Honda e (discontinued),2017,Lithium-sulfur,135437.99,Portugal
Genesis,G80 Electric,2020,Lithium-titanate,143335.72,Malaysia
Geely,Geometry C,2018,Lithium-iron phosphate,33684.61,UAE
Dacia,Jogger Hybrid,2025,Lead-acid,76442.98,Japan
Rimac,Nevera,2019,Zinc-air,31417.84,France
Audi,Q8 e-tron,2020,Nickel-metal hydride,81299.7,Saudi Arabia
Rivian,R1S,2023,Solid-state,101490.77,Saudi Arabia
Ferrari,Ferrari EV (2025+),2021,Zinc-air,121720.1,South Korea
Geely,Emgrand EV,2017,Lithium-sulfur,148379.48,India
Geely,Geometry A,2023,Lithium-iron phosphate,43527.55,UAE
Lotus,Evija,2015,Lithium-titanate,44535.19,Canada
Lotus,Emeya,2022,Nickel-cobalt-aluminum,105765.49,UAE
Canoo,Pickup,2018,Sodium-ion,116940.71,Czech Republic
VinFast,VF 9,2019,Nickel-cobalt-aluminum,67119.6,Hungary
Porsche,Taycan,2020,Calcium-ion,100599.16,China
Toyota,bZ4X,2016,Lithium-ion,40385.01,Austria
Canoo,MPDV,2019,Magnesium-ion,97403.74,Vietnam
GMC,Hummer EV SUV,2017,Nickel-cobalt-aluminum,94792.27,UAE
Audi,Q4 e-tron,2015,Sodium-ion,131267.15,Australia
Zeekr,Zeekr 009,2022,Calcium-ion,66327.08,UAE
Pininfarina,Battista,2016,Nickel-manganese-cobalt,46556.37,India
Toyota,bZ4X,2024,Lithium-titanate,51243.14,Ireland
Honda,Honda e (discontinued),2020,Lithium-sulfur,74741.81,Japan
Mahindra,XUV400,2024,Lithium-ion,56346.88,Mexico
Porsche,Macan EV,2023,Zinc-air,40675.13,South Africa
Audi,Q8 e-tron,2023,Aluminum-ion,37909.33,Brazil
BYD,Han EV,2024,Nickel-metal hydride,108832.47,Norway
Canoo,MPDV,2017,Lithium-iron phosphate,101237.81,USA
Ferrari,Roma PHEV,2023,Lithium-titanate,46901.91,South Africa
Cadillac,Celestiq,2019,Nickel-manganese-cobalt,125163.78,Sweden
Opel,Corsa-e,2015,Lithium-sulfur,109678.54,Austria
Honda,Honda e (discontinued),2018,Sodium-ion,78675.79,Saudi Arabia
Honda,Honda Prologue,2023,Lead-acid,57342.18,Poland
Toyota,Lexus UX 300e,2015,Nickel-cobalt-aluminum,73706.65,Netherlands
Pininfarina,Battista,2016,Lithium-ion,109929.89,France
Kia,Soul EV,2017,Sodium-ion,36478.01,Norway
Seat,Avenger,2025,Nickel-metal hydride,51868.91,Singapore
Rimac,Nevera,2020,Lithium-iron phosphate,71642.94,Israel
Mahindra,XUV400,2022,Lithium-titanate,35942.1,Israel
XPeng,G9,2025,Zinc-air,137671.49,USA
GMC,Hummer EV SUV,2016,Solid-state,148858.28,Finland
Ferrari,Roma PHEV,2017,Lithium-ion,145650.49,Singapore
Maserati,GranTurismo Folgore,2022,Nickel-manganese-cobalt,90114.46,Italy
Seat,Avenger,2018,Lithium-ion,131767.95,Mexico
Rivian,R1S,2020,Lithium-sulfur,85125.42,Norway
VinFast,VF 7,2019,Sodium-ion,33833.8,Indonesia
Li Auto,L9,2018,Lithium-ion,77109.85,Italy
Lamborghini,Lanzador (upcoming EV),2020,Calcium-ion,118433.6,Vietnam
Faraday Future,FF 91,2015,Aluminum-ion,52384.63,Australia
Faraday Future,FF 91,2017,Lithium-iron phosphate,81773.89,France
Lotus,Evija,2022,Lithium-titanate,122736.31,Vietnam
Ferrari,Ferrari EV (2025+),2022,Lithium-titanate,92011.68,South Korea
Audi,A6 e-tron (upcoming),2021,Zinc-air,126444.7,Mexico
Renault,Kangoo E-Tech,2017,Lithium-ion,94398.55,Austria
Toyota,Lexus RZ,2019,Flow batteries,146872.57,Singapore
